,inference_results
0,11.238096
1,79.70639
2,7.4943733
3,38.51499
4,64.73065
5,38.507446
6,94.862816
7,97.47785
8,29.583431
9,26.251299
10,96.53044
11,14.381539
12,10.160641
13,51.19105
14,64.99347
15,82.55236
16,35.80523
17,93.06339
18,12.250373
19,65.84511
20,78.08694
21,69.46194
22,21.882065
23,82.63006
24,31.72602
25,17.965475
26,28.496159
27,82.6644
28,90.81492
29,39.999413
30,71.65967
31,71.640594
32,91.82818
33,39.741497
34,54.395947
35,91.147644
36,54.880295
37,13.617996
38,32.129925
39,24.290697
40,21.039246
41,99.5147
42,21.462063
43,11.226174
44,29.233603
45,72.80235
46,26.923996
47,77.822464
48,12.053192
49,96.178215
50,91.53482
51,47.979248
52,43.11706
53,17.108946
54,59.744312
55,28.986538
56,3.3934484
57,68.36101
58,21.869045
59,84.36407
60,70.86749
61,82.808586
62,40.576366
63,63.31777
64,26.108885
65,64.52781
66,13.904319
67,83.92269
68,77.759575
69,53.24454
70,1.8347509
71,60.784786
72,91.142525
73,25.282827
74,45.375126
75,95.55671
76,80.22134
77,49.26853
78,40.96761
79,18.223677
80,29.001734
81,35.44629
82,73.9598
83,1.4175222
84,34.50702
85,49.488228
86,18.041143
87,56.552242
88,60.357803
89,65.88061
90,55.22407
91,4.2854953
92,28.385803
93,1.6046993
94,78.018196
95,30.710903
96,4.646935
97,20.91708
98,58.08102
99,13.756145
100,63.28179
101,76.373634
102,44.993084
103,20.224926
104,50.848625
105,91.85072
106,88.43817
107,47.168415
108,40.016853
109,95.11999
110,92.57923
111,82.0918
112,40.10369
113,63.72919
114,26.63529
115,1.7535093
116,18.127813
117,90.53907
118,26.625914
119,95.64829
120,15.500484
121,18.309364
122,45.429554
123,82.77991
124,94.41571
125,83.6886
126,10.535821
127,34.736412
128,63.56825
129,3.3379166
130,69.82462
131,43.989746
132,86.80849
133,38.88287
134,85.48042
135,93.57717
136,82.79264
137,41.80386
138,91.96812
139,18.762064
140,72.82016
141,78.14663
142,99.764885
143,90.37047
144,64.836655
145,55.11351
146,55.68867
147,70.59779
148,12.687484
149,37.28713
150,40.844368
151,5.842032
152,37.756535
153,89.12143
154,23.412775
155,18.83955
156,70.59956
157,53.41044
158,83.46877
159,83.53431
160,67.85555
161,57.459694
162,98.214294
163,63.528187
164,50.626415
165,50.06635
166,39.529064
167,73.4859
168,94.25102
169,13.159132
170,20.699806
171,36.467487
172,17.1908
173,14.6274185
174,85.60378
175,71.63529
176,84.0487
177,83.43107
178,95.77314
179,5.627907
180,21.833893
181,34.842133
182,4.085352
183,56.458088
184,36.745274
185,17.342617
186,90.77479
187,12.952154
188,9.66466
189,91.772606
190,29.75848
191,23.871145
192,78.136986
193,24.938404
194,65.691605
195,40.65844
196,95.59843
197,54.2814
198,33.771145
199,26.96892
200,2.9673958
201,52.1848
202,25.034405
203,62.87289
204,28.29925
205,6.097796
206,23.995914
207,88.380356
208,3.7668085
209,73.16603
210,54.14746
211,98.04806
212,51.887535
213,15.8909445
214,86.25643
215,71.45987
216,1.1285859
217,14.474772
218,34.594173
219,77.31614
220,5.677555
221,64.56625
222,78.33449
223,95.72605
224,57.553894
225,70.68438
226,40.17864
227,85.71056
228,6.9897866
229,78.47252
230,10.338957
231,17.604843
232,2.8579745
233,78.279465
234,91.845375
235,68.6353
236,80.706055
237,24.018093
238,61.070595
239,98.57423
240,56.521755
241,98.13154
242,11.775969
243,87.36565
244,13.692369
245,53.980827
246,57.218018
247,95.18785
248,96.75964
249,65.944244
250,12.955582
251,61.908764
252,32.196884
253,36.654392
254,44.847904
255,57.796143
256,51.27717
257,29.301228
258,84.54002
259,38.092484
260,93.99227
261,48.500633
262,11.4151325
263,64.64458
264,34.363354
265,98.26822
266,4.1264286
267,71.992744
268,21.75335
269,45.908997
270,49.787964
271,45.57595
272,48.090282
273,75.326035
274,24.602362
275,45.81156
276,86.561714
277,93.61426
278,60.977695
279,37.96216
280,16.312263
281,60.94861
282,6.3353148
283,74.95212
284,29.635525
285,77.793785
286,64.62047
287,34.86208
288,2.210383
289,4.915839
290,39.527065
291,1.4672306
292,12.596009
293,55.007362
294,61.939487
295,73.99968
296,76.79599
297,51.399452
298,39.509506
299,32.390545
300,18.69163
301,88.83996
302,74.210495
303,82.15227
304,19.163315
305,75.44525
306,7.8129163
307,33.00335
308,40.204514
309,98.26268
310,12.645292
311,22.675547
312,28.657433
313,92.42683
314,85.214424
315,8.521473
316,94.82771
317,13.754275
318,89.906075
319,91.619934
320,22.455795
321,41.02067
322,44.791115
323,14.710102
324,32.34272
325,33.667336
326,3.6641605
327,96.42417
328,20.364496
329,70.46988
330,64.91904
331,49.918404
332,78.24019
333,98.1635
334,41.350502
335,30.372694
336,3.8284585
337,56.947956
338,46.46907
339,51.740147
340,39.498257
341,77.35517
342,88.42291
343,4.4629564
344,13.840817
345,94.957565
346,2.149894
347,70.73325
348,83.53608
349,62.555653
350,24.12959
351,54.967827
352,42.63655
353,70.61265
354,17.81364
355,2.6942935
356,31.98289
357,27.721142
358,92.67897
359,70.98081
360,4.049623
361,84.829
362,82.66787
363,6.281433
364,92.909424
365,44.420914
366,13.384268
367,17.595758
368,18.412308
369,55.04468
370,30.728476
371,54.95959
372,67.47387
373,0.87644976
374,85.12726
375,52.06808
376,20.04822
377,31.665188
378,5.275667
379,24.83472
380,98.57579
381,17.429008
382,57.4991
383,77.570854
384,98.16927
385,31.612265
386,98.82235
387,49.511383
388,78.361244
389,22.842102
390,65.30976
391,45.70463
392,6.0206947
393,87.43319
394,1.346309
395,69.84777
396,89.973305
397,56.00933
398,66.89546
399,25.722572
400,64.65239
401,67.91449
402,20.727629
403,47.12757
404,45.717804
405,58.597347
406,42.299133
407,32.107918
408,40.74001
409,69.80322
410,21.108038
411,11.586574
412,91.5305
413,74.065445
414,32.272762
415,47.168934
416,8.662474
417,48.280197
418,15.619394
419,9.243166
420,74.76863
421,83.73586
422,42.616993
423,32.63141
424,9.096553
425,40.610195
426,64.747734
427,83.11962
428,97.18037
429,19.817207
430,31.856924
431,98.669075
432,30.349176
433,1.447842
434,32.552822
435,40.207172
436,3.6093771
437,13.887197
438,1.6702311
439,22.849754
440,66.04838
441,20.493011
442,1.3942788
443,5.414228
444,52.003117
445,6.358526
446,92.04962
447,74.906586
448,87.132706
449,54.511353
450,77.26379
451,46.646618
452,18.798885
453,46.584995
454,48.48149
455,40.941944
456,43.99438
457,4.0968595
458,29.725464
459,14.962543
460,24.504063
461,48.698933
462,85.21482
463,90.08823
464,21.75195
465,70.85132
466,98.88284
467,42.182827
468,61.712036
469,27.333126
470,43.769936
471,42.955647
472,61.110985
473,20.711716
474,23.872686
475,39.42864
476,17.243214
477,54.917515
478,71.3137
479,30.233871
480,16.286188
481,27.210337
482,30.573133
483,70.80031
484,67.06823
485,22.289469
486,46.304432
487,64.86634
488,36.422672
489,78.04815
490,91.70937
491,99.77665
492,98.01465
493,62.962364
494,91.227646
495,81.72194
496,65.81458
497,49.780216
498,28.576752
499,6.315699
500,11.97876
501,11.145387
502,86.825806
503,2.1507113
504,99.455025
505,21.440754
506,40.68125
507,32.01177
508,54.65729
509,63.24138
510,1.1353643
511,50.21797
512,19.075787
513,72.34513
514,33.26903
515,85.22275
516,60.61271
